LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,CalcMz,IonFormula,GroupArea[c],GroupHeight[c],GroupTopPos[c],ASH10,ASH14,ASH18,ASH2,ASH22,ASH6,EV1,EV13,EV17,EV21,EV5,EV9,P-A11,P-A15,P-A19,P-A23,P-A3,P-A7,PRX12,PRX16,PRX20,PRX24,PRX4,PRX8,QC_MSMS,blank,,Filename,dLPC-,dLPE-,dPI-,dPS-,dPG-,dCer-,dPC-,dPE-
CL(18:2/16:0/16:0/16:0)-H,CL,(18:2/16:0/16:0/16:0),(18:2),(16:0),(16:0),(16:0),1375.964955,C75 H141 O17 P2,571524.5294,64187.75289,22.232,998188.52,1194195.028,2181409.054,504997.378,1185769.939,780902.611,208320.557,667653.555,440348.512,580817.808,416451.014,671300.682,575706.701,520107.78,282063.088,376756.238,596688.493,491048.695,126960.463,112652.641,224802.896,146786.997,322216.79,165195.519,555851.1,0,,QC_A,1.45E+08,1.84E+08,1.46E+08,3.13E+08,3.76E+08,4.12E+08,2.13E+08,2.81E+08
CL(18:3/18:1/20:4/18:2)-H,CL,(18:3/18:1/20:4/18:2),(18:3),(18:1),(20:4),(18:2),1471.964955,C83 H141 O17 P2,853114.6008,98766.41141,20.931,1414193.567,1257905.847,1275641.467,1842978.84,904690.912,2036705.99,840045.41,1893633.802,1072379.02,876068.837,1226714.768,1568290.477,179831.806,308347.242,192258.94,184003.97,258195.831,291780.427,354681.184,206894.919,381421.637,259120.031,1060090.477,313022.985,1071515.682,0,,QC_C,1.69E+08,2.10E+08,1.66E+08,3.38E+08,4.12E+08,4.62E+08,2.36E+08,3.09E+08
CL(23:0/15:0/18:0/18:2)-H,CL,(23:0/15:0/18:0/18:2),(23:0),(15:0),(18:0),(18:2),1488.090155,C83 H157 O17 P2,2508831.302,423210.8356,18.329,1997724.625,1521163.034,1184062.871,2406168.415,1588034.081,2232756.861,1550984.912,2528093.673,1664884.55,1695024.726,1681990.956,2439840.575,1826919.519,2416467.196,1468790.138,1602822.156,2004533.119,1850195.792,4216604.214,3158667.249,4344646.928,3443255.072,7870284.721,2898219.777,3062817.86,0,,blank,1.29E+08,1.46E+08,8.50E+07,1.74E+08,3.01E+08,5.93E+08,2.32E+08,3.23E+08
CL(19:0/18:2/15:0/22:0)+H,CL,(19:0/18:2/15:0/22:0),(19:0),(18:2),(15:0),(22:0),1490.104707,C83 H159 O17 P2,6201205.416,953431.655,18.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,QC_MSMS_neg,5.08E+05,6.74E+05,1.87E+06,2.43E+06,6.02E+06,8.90E+06,3.48E+06,3.98E+06
CL(18:2/18:0/18:0/20:1)+H,CL,(18:2/18:0/18:0/20:1),(18:2),(18:0),(18:0),(20:1),1488.089057,C83 H157 O17 P2,1.47E+07,2576599.924,18.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,EV1,1.47E+08,1.64E+08,1.49E+08,2.89E+08,3.63E+08,4.26E+08,2.20E+08,2.85E+08
CL(18:2/18:1/18:1/20:4)-H,CL,(18:2/18:1/18:1/20:4),(18:2),(18:1),(18:1),(20:4),1475.996255,C83 H145 O17 P2,96502.9593,25012.76756,21.58,98133.4914,360366.781,29772.6051,6429.366,36982.1481,47754.4221,13553.2854,925081.255,15270.6522,528510.399,30632.9814,9890.8434,3843.5943,8125.9536,1489.8096,15495.1005,25820.1366,3426.7452,578.5182,4096.731,4480.1244,2205.567,5539.2084,4067.3421,378036.044,0,,ASH2,1.70E+08,1.94E+08,1.54E+08,3.42E+08,7.69E+08,4.25E+08,2.19E+08,2.83E+08
CL(17:1/20:4/18:2/20:3)-H,CL,(17:1/20:4/18:2/20:3),(17:1),(20:4),(18:2),(20:3),1485.980605,C84 H143 O17 P2,353642.9311,34956.28704,21.19,825815.775,11799.8457,2256.8049,1320644.381,475830.477,1285719.704,637092.787,24524.8566,21758.8092,702180.667,740667.453,645488.802,128028.006,835.2471,4682.4315,3306.1392,7061.6934,3546.5346,6936.996,193881.929,420371.16,5635.1976,650838.34,9512.3196,761456.655,0,,P-A3,1.67E+08,2.05E+08,1.64E+08,3.52E+08,4.16E+08,4.95E+08,2.49E+08,3.29E+08
CL(15:0/20:4/20:4/20:3)-H,CL,(15:0/20:4/20:4/20:3),(15:0),(20:4),(20:4),(20:3),1483.964955,C84 H141 O17 P2,693886.4604,62610.44,20.824,1067651.694,1035397.933,669687.458,1223036.152,922057.724,1516609.646,772852.061,1359629.852,902195.739,675541.997,1235261.974,807240.831,233197.181,417387.111,276570.779,239103.34,364324.591,422388.429,343418.025,261503.566,10756.8009,286295.392,1005900.525,309806.106,698283.577,0,,PRX4,1.71E+08,1.94E+08,1.58E+08,3.81E+08,6.90E+08,4.58E+08,2.21E+08,2.89E+08
CL(23:1/16:0/18:1/18:2)-H,CL,(23:1/16:0/18:1/18:2),(23:1),(16:0),(18:1),(18:2),1498.074505,C84 H155 O17 P2,454995.068,95037.23344,17.395,1120886.012,1140265.813,28669.7517,29874.5601,1288820.505,2040596.907,1108991.081,2200089.462,70178.7291,57157.9305,13297.8222,19559.049,125652.995,269830.142,49489.0542,24747.6327,32324.0592,13676.1867,353243.117,172331.005,13425.9123,22742.4,763117.474,3834.1755,377212.987,0,,EV5,1.47E+08,1.72E+08,1.33E+08,2.70E+08,3.25E+08,3.78E+08,1.97E+08,2.62E+08
CL(17:0/18:2/20:0/20:4)+H,CL,(17:0/18:2/20:0/20:4),(17:0),(18:2),(20:0),(20:4),1496.057757,C84 H153 O17 P2,6504995.504,1212490.115,17.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ASH6,1.83E+08,2.26E+08,1.61E+08,3.69E+08,7.91E+08,4.48E+08,2.27E+08,2.92E+08
