LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,CalcMz,IonFormula,GroupArea[c],GroupHeight[c],GroupTopPos[c],ASH10,ASH14,ASH18,ASH2,ASH22,ASH6,EV1,EV13,EV17,EV21,EV5,EV9,P-A11,P-A15,P-A19,P-A23,P-A3,P-A7,PRX12,PRX16,PRX20,PRX24,PRX4,PRX8,QC_MSMS,blank,,Filename,dCE,dSM,dCer,dDG,dTG
CL(18:2/16:0/16:0/16:0)-H,CL,(18:2/16:0/16:0/16:0),(18:2),(16:0),(16:0),(16:0),1375.964955,C75 H141 O17 P2,571524.5294,64187.75289,22.232,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,QC_B,1.23E+08,1.37E+09,8.32E+08,4.39E+08,8.52E+08
CL(18:3/18:1/20:4/18:2)-H,CL,(18:3/18:1/20:4/18:2),(18:3),(18:1),(20:4),(18:2),1471.964955,C83 H141 O17 P2,853114.6008,98766.41141,20.931,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,QC_D,1.11E+08,1.32E+09,8.20E+08,4.20E+08,8.37E+08
CL(23:0/15:0/18:0/18:2)-H,CL,(23:0/15:0/18:0/18:2),(23:0),(15:0),(18:0),(18:2),1488.090155,C83 H157 O17 P2,2508831.302,423210.8356,18.329,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,blank,2.34E+07,6.42E+08,8.40E+08,1.89E+08,5.81E+08
CL(19:0/18:2/15:0/22:0)+H,CL,(19:0/18:2/15:0/22:0),(19:0),(18:2),(15:0),(22:0),1490.104707,C83 H159 O17 P2,6201205.416,953431.655,18.638,4.66E+06,3.02E+06,3.92E+06,2.79E+06,2.66E+06,4.84E+06,1.76E+06,5.21E+06,3.08E+06,3.67E+06,3.01E+06,4.76E+06,5.54E+06,8.87E+06,6.96E+06,6.28E+06,6.57E+06,6.31E+06,1.08E+07,6.45E+06,1.19E+07,8.42E+06,1.96E+07,6.71E+06,6.93E+06,0.00E+00,,EV1,1.61E+08,9.16E+08,6.94E+08,3.35E+08,6.76E+08
CL(18:2/18:0/18:0/20:1)+H,CL,(18:2/18:0/18:0/20:1),(18:2),(18:0),(18:0),(20:1),1488.089057,C83 H157 O17 P2,1.47E+07,2576599.924,18.315,1.12E+07,9.10E+06,8.56E+06,1.08E+07,9.52E+06,1.33E+07,8.57E+06,1.68E+07,9.05E+06,1.04E+07,8.27E+06,1.19E+07,1.01E+07,1.54E+07,9.02E+06,1.04E+07,1.03E+07,1.02E+07,2.59E+07,1.78E+07,2.67E+07,2.10E+07,5.17E+07,1.69E+07,1.29E+07,0.00E+00,,ASH2,4.75E+07,1.07E+09,7.37E+08,3.51E+08,5.60E+08
CL(18:2/18:1/18:1/20:4)-H,CL,(18:2/18:1/18:1/20:4),(18:2),(18:1),(18:1),(20:4),1475.996255,C83 H145 O17 P2,96502.9593,25012.76756,21.58,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,P.A3,4.74E+07,1.09E+09,7.85E+08,3.23E+08,9.21E+08
CL(17:1/20:4/18:2/20:3)-H,CL,(17:1/20:4/18:2/20:3),(17:1),(20:4),(18:2),(20:3),1485.980605,C84 H143 O17 P2,353642.9311,34956.28704,21.19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,PRX4,1.19E+08,1.23E+09,8.39E+08,3.28E+08,8.35E+08
CL(15:0/20:4/20:4/20:3)-H,CL,(15:0/20:4/20:4/20:3),(15:0),(20:4),(20:4),(20:3),1483.964955,C84 H141 O17 P2,693886.4604,62610.44,20.824,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,EV5,3.65E+07,9.44E+08,6.39E+08,2.92E+08,6.52E+08
CL(23:1/16:0/18:1/18:2)-H,CL,(23:1/16:0/18:1/18:2),(23:1),(16:0),(18:1),(18:2),1498.074505,C84 H155 O17 P2,454995.068,95037.23344,17.395,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,ASH6,4.99E+07,1.30E+09,7.98E+08,3.73E+08,6.10E+08
CL(17:0/18:2/20:0/20:4)+H,CL,(17:0/18:2/20:0/20:4),(17:0),(18:2),(20:0),(20:4),1496.057757,C84 H153 O17 P2,6504995.504,1212490.115,17.688,8.45E+06,6.45E+06,6.42E+06,9.33E+06,6.59E+06,1.06E+07,5.15E+06,1.15E+07,6.64E+06,8.05E+06,6.43E+06,8.46E+06,2.90E+06,5.16E+06,3.20E+06,3.41E+06,3.56E+06,3.29E+06,6.39E+06,3.77E+06,6.98E+06,4.64E+06,1.45E+07,4.22E+06,4.56E+06,0.00E+00,,P.A7,1.23E+08,1.16E+09,8.36E+08,3.25E+08,9.81E+08
