Term_EG	Combined_Score_EG
muscle contraction (GO:0006936)	43.09011258
heart contraction (GO:0060047)	21.23595859
striated muscle contraction (GO:0006941)	18.77762331
amino-acid betaine metabolic process (GO:0006577)	17.70445549
actomyosin structure organization (GO:0031032)	15.46834419
skeletal myofibril assembly (GO:0014866)	13.50334451
carnitine metabolic process (GO:0009437)	13.30454164
sarcomere organization (GO:0045214)	13.19090491
stress response to cadmium ion (GO:1990170)	13.1429517
myofibril assembly (GO:0030239)	11.61000046
negative regulation of protein depolymerization (GO:1901880)	9.47646577
muscle thin filament assembly (GO:0071689)	9.21223335
regulation of muscle system process (GO:0090257)	9.156866143
actin filament organization (GO:0007015)	8.7880189
"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)"	8.459086764
long-chain fatty acid metabolic process (GO:0001676)	8.017005665
regulation of synapse disassembly (GO:1905806)	8.001489913
positive regulation of synapse disassembly (GO:1905808)	7.994327078
fatty acid metabolic process (GO:0006631)	7.870186293
regulation of protein polymerization (GO:0032271)	7.769038316
regulation of protein modification by small protein conjugation or removal (GO:1903320)	7.635413467
regulation of protein deneddylation (GO:0060625)	7.633460478
regulation of muscle contraction (GO:0006937)	7.260397235
negative regulation of actin filament polymerization (GO:0030837)	7.147034178
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	6.949358489
negative regulation of supramolecular fiber organization (GO:1902904)	6.886207146
regulation of sarcomere organization (GO:0060297)	6.639385832
positive regulation of sarcomere organization (GO:0060298)	6.49948782
positive regulation of striated muscle cell differentiation (GO:0051155)	6.490726838
mitochondrial respiratory chain complex assembly (GO:0033108)	6.448940548
actin filament capping (GO:0051693)	6.438399571
response to cadmium ion (GO:0046686)	6.356879119
regulation of actin filament polymerization (GO:0030833)	6.300481293
barbed-end actin filament capping (GO:0051016)	6.272509707
defense response to bacterium (GO:0042742)	6.224525469
negative regulation of cytoskeleton organization (GO:0051494)	6.195676016
monocarboxylic acid metabolic process (GO:0032787)	6.164821945
stabilization of membrane potential (GO:0030322)	6.12119653
phosphatidylcholine biosynthetic process (GO:0006656)	6.000179085
positive regulation of ovulation (GO:0060279)	5.76251915
positive regulation of cell development (GO:0010720)	5.558248787
myosin filament assembly (GO:0031034)	5.325497672
negative regulation of mitotic cell cycle (GO:0045930)	5.306452994
axonal fasciculation (GO:0007413)	5.093803481
contractile fiber (GO:0043292)	17.74502245
myofibril (GO:0030016)	13.90763945
striated muscle thin filament (GO:0005865)	12.50566895
myosin filament (GO:0032982)	12.3915741
actin filament (GO:0005884)	8.209992546
membrane raft (GO:0045121)	8.040073596
actomyosin (GO:0042641)	6.321490536
mitochondrial intermembrane space (GO:0005758)	5.75810485
intermediate filament cytoskeleton (GO:0045111)	5.173376534
striated muscle myosin thick filament (GO:0005863)	5.088913749
actin monomer binding (GO:0003785)	22.60531281
stearoyl-CoA 9-desaturase activity (GO:0004768)	20.3058162
acyl-CoA desaturase activity (GO:0016215)	18.59139029
carnitine O-palmitoyltransferase activity (GO:0004095)	17.83019715
tropomyosin binding (GO:0005523)	17.65426264
O-palmitoyltransferase activity (GO:0016416)	17.56034148
UDP-glycosyltransferase activity (GO:0008194)	16.69387486
carnitine O-acyltransferase activity (GO:0016406)	14.20113656
glucuronosyltransferase activity (GO:0015020)	11.51493574
L-glutamate transmembrane transporter activity (GO:0005313)	10.36334751
calcium ion binding (GO:0005509)	10.21191696
"transferase activity, transferring hexosyl groups (GO:0016758)"	9.763803422
actin filament binding (GO:0051015)	9.269417858
metal ion binding (GO:0046872)	8.983303273
iron ion binding (GO:0005506)	8.741764407
actin binding (GO:0003779)	7.594106342
outward rectifier potassium channel activity (GO:0015271)	7.436488439
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	6.938120323
SH3 domain binding (GO:0017124)	6.662619546
leak channel activity (GO:0022840)	6.452672634
lysophosphatidic acid acyltransferase activity (GO:0042171)	6.360546548
"transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"	6.34887904
RNA polymerase II carboxy-terminal domain kinase activity (GO:0008353)	5.797386607
transition metal ion binding (GO:0046914)	5.608255644
alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	5.461739722
serine-type exopeptidase activity (GO:0070008)	5.067114277
"ATPase activity, coupled (GO:0042623)"	5.015268709
response to cadmium ion (GO:0046686)	22.32865692
regulation of endopeptidase activity (GO:0052548)	20.92615714
negative regulation of endopeptidase activity (GO:0010951)	18.74915614
respiratory electron transport chain (GO:0022904)	18.57078463
heart contraction (GO:0060047)	18.11733626
stress response to cadmium ion (GO:1990170)	17.71325346
"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)"	17.55032738
negative regulation of peptidase activity (GO:0010466)	16.74355643
phenol-containing compound biosynthetic process (GO:0046189)	16.02023147
positive regulation of fatty acid metabolic process (GO:0045923)	15.98289491
C4-dicarboxylate transport (GO:0015740)	15.84677093
tryptophan catabolic process (GO:0006569)	15.54707464
aerobic respiration (GO:0009060)	15.50301317
negative regulation of cellular catabolic process (GO:0031330)	14.58685059
branched-chain amino acid catabolic process (GO:0009083)	14.3777341
drug catabolic process (GO:0042737)	14.33348761
long-chain fatty acid metabolic process (GO:0001676)	14.12394505
striated muscle contraction (GO:0006941)	13.95690169
cellular protein catabolic process (GO:0044257)	13.91354953
dicarboxylic acid metabolic process (GO:0043648)	13.86594704
muscle thin filament assembly (GO:0071689)	13.82659966
carbohydrate derivative catabolic process (GO:1901136)	13.71679976
pyrimidine nucleobase catabolic process (GO:0006208)	13.29359583
exogenous drug catabolic process (GO:0042738)	13.22854615
regulation of apoptotic signaling pathway (GO:2001233)	12.70691925
"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)"	12.66582638
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)"	12.59867566
tyrosine metabolic process (GO:0006570)	12.5965048
cellular zinc ion homeostasis (GO:0006882)	12.53003469
hydrogen transport (GO:0006818)	12.37701274
acyl-CoA metabolic process (GO:0006637)	11.9131866
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	11.89877783
cellular respiration (GO:0045333)	11.884738
"energy coupled proton transport, down electrochemical gradient (GO:0015985)"	11.54700321
regulation of protein polymerization (GO:0032271)	11.28798243
alpha-amino acid catabolic process (GO:1901606)	11.21475651
fatty acid beta-oxidation (GO:0006635)	11.1920306
very long-chain fatty acid metabolic process (GO:0000038)	11.0836416
methionine metabolic process (GO:0006555)	10.94756968
ascaroside biosynthetic process (GO:1904070)	10.91761909
fatty acid catabolic process (GO:0009062)	10.90873159
ascaroside metabolic process (GO:1904069)	10.86207658
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	10.81644647
glycoside biosynthetic process (GO:0016138)	10.75072201
fatty acid metabolic process (GO:0006631)	10.70373844
carbohydrate catabolic process (GO:0016052)	10.69481616
skeletal myofibril assembly (GO:0014866)	10.62579717
pyrimidine nucleobase metabolic process (GO:0006206)	10.46894262
fatty acid elongation (GO:0030497)	10.42870162
sphingolipid biosynthetic process (GO:0030148)	10.41194568
proton transport (GO:0015992)	10.06886806
proteolysis involved in cellular protein catabolic process (GO:0051603)	10.04480286
very long-chain fatty acid biosynthetic process (GO:0042761)	10.00110517
unsaturated fatty acid biosynthetic process (GO:0006636)	9.993080255
extracellular matrix organization (GO:0030198)	9.972706322
sphingolipid catabolic process (GO:0030149)	9.910008138
collagen and cuticulin-based cuticle development (GO:0040002)	9.761138815
hexose metabolic process (GO:0019318)	9.655048427
phosphate-containing compound metabolic process (GO:0006796)	9.111030744
fatty acid biosynthetic process (GO:0006633)	8.82200764
monocarboxylic acid metabolic process (GO:0032787)	8.787214245
membrane lipid biosynthetic process (GO:0046467)	8.780520204
proteolysis (GO:0006508)	8.76537886
"fatty acid elongation, unsaturated fatty acid (GO:0019368)"	8.673387699
medium-chain fatty acid metabolic process (GO:0051791)	8.586242137
regulation of transport (GO:0051049)	8.378696735
medium-chain fatty acid catabolic process (GO:0051793)	8.334831404
nicotinamide nucleotide metabolic process (GO:0046496)	8.274239657
glucose metabolic process (GO:0006006)	8.162842581
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	8.115634394
pyruvate metabolic process (GO:0006090)	8.110624762
ATP generation from ADP (GO:0006757)	8.042433444
citrate transport (GO:0015746)	7.983387231
