Control,ash-2,prx-5,fat-2,fat-7,plin-1,hosl-1,atgl-1,spas-1,pmp-4,lpin-1,seip-1,acs-4,acs-22,fitm-2,dgat-2,acs-5,acs-13,acs-17,prx-19,Y7A5A.1,syx-5,alh-4,rab-7,prx-11,spg-20,ads-1,ctl-3,tomm-22,sod-1,fard-1,snx-13,mctp-1,faah-4,acdh-1,ech- 1,F46H5.3,dhs-9,dhs-4,dhs-19,tkt1,cgi-58,acdh-12,F13D12.9,dhs-28,spl-1,gpx-1,ftn-1 ,maoc-1,lpd-5,daf-22,T25G3.4,gpx-1(tm2100) mutant,hlh-2 RNAi,hlh-3 RNAi,nhr-64 RNAi,Y44A6D.3 RNAi,hlh-11 RNAi,nhr-49 RNAi,nhr-62 RNAi,nhr-79 RNAi,sbp-1 RNAi,C25H3.11-vps13d RNAi
0.95911693,1.90433361,0.84563759,1.29272281,0.19460343,2.07731308,1.46740535,1.38863652,0.53581662,2.28939828,0.48739496,0.30106221,0.966887,1.139073,1.251656,0.980132,0.437086,1.675497,1,1.24378109,0.44776119,0.39800995,0.91684435,0.17057569,0.32693674,1.05899076,0.25195482,0.45178106,1.23370982,0.26933102,0.52997394,0.85143354,0.67767159,0.81668115,2.14566929,0.43307087,0.56102362,0.90551181,0.66929134,1.71259843,0.07874016,0.24606299,1.1515748,0.40789329,0.34174843,0.29765186,0.926028,1.51030757,1.44416272,1.02524529,0.50711057,0.76066586,1.022744503,0.792266869,1.498104625,0.835481425,1.339651251,1.008339651,0.24,0.742857143,0.914285714,0.485581395,0.745599
0.91741619,2.44644317,1.16778524,1.95993459,0.72281276,1.61723703,2.05198146,1.19659105,1.5465616,1.61962751,0.07563025,0.25402124,1.370861,1.039735,1.417219,1.403974,0.258278,1.178808,0.205298,1.93319119,1.28642502,0.23454158,0.68230277,0.51172708,0.50461976,1.20113717,0.40834057,0.09556907,0.66898349,0.53866203,0.20851434,0.81668115,1.09470026,0.46915725,0.40354331,1.49606299,1.2007874,0.80708661,1.09251969,1.55511811,0.13779528,0.57086614,1.70275591,0.47403814,0.37482086,0.81578657,0.39686914,0.926028,0.231507,1.157535,0.28662771,1.26777643,0.576194086,0.749052312,0.619408643,1.181197877,1.440485216,0.691432904,0.308571429,1.725714286,1.428571429,0.310232558,1.24912
1.41782502,2.37694195,1.69127517,1.09811938,0.4309076,1.05956909,1.86109947,1.65454564,2.67908309,2.69126074,0.22689076,0.42336874,1.569536,1.145695,1.397351,1.649007,0.668874,1.470199,1.198675,1.42857143,1.23667377,0.10660981,1.06609808,0.44065387,0.26297086,0.56858564,0.59079062,0.40834057,0.6516073,0.29539531,0.26933102,1.66811468,1.26846221,0.85143354,0.31496063,0.75787402,0.45275591,1.73228346,1.68307087,0.79724409,0.13779528,0.87598425,2.44094488,0.28662771,0.308676,0.28662771,0.40789329,0.63940029,0.59530372,1.47723514,0.17638629,1.14651086,1.670962851,1.181197877,0.662623199,1.253222138,0.345716452,0.792266869,0.194285714,1.005714286,0.537142857,0.175348837,1.181338
0.80621423,2.73834832,1.80201343,1.26492232,0.77841374,2.67680611,0.88282923,2.52613665,2.55730659,1.19340974,0.39495798,0.71502276,1.139073,1.271523,1.139073,1.410596,0.337748,1.735099,0.337748,0.77469794,1.32906894,0.11371713,1.05188344,0.32693674,0.47619048,1.52807392,0.28670721,0.94700261,0.88618593,0.26933102,0.18245004,1.41615986,0.71242398,0.46915725,0.30511811,1.9488189,0.38385827,1.2007874,0.97440945,1.23031496,0.23622047,0.71850394,0.77755906,0.31970014,0.40789329,0.48506229,1.37801786,1.71976629,0.89295557,0.540183,0.71656929,0.62837614,1.411675512,1.123578469,0.403335861,0.849886277,0.129643669,0.230477635,0.205714286,0.914285714,1.234285714,1.011627907,0.948944
1.89043336,1.91823385,0.93624161,1.36222404,0.4309076,1.19898607,1.92075009,2.28977299,2.19197708,1.89971347,0.69747899,0.36691957,1.298013,0.86755,1.119205,1.039735,0.317881,0.476821,0.907285,0.7604833,0.53304904,0.46908316,0.31982942,0.3127221,0.4832978,0.83866382,0.13900956,1.49435274,0.99044309,0.22589053,1.15551694,1.13814075,0.84274544,0.35621199,0.66929134,0.6496063,0.11811024,0.53149606,0.76771654,0.35433071,0.0984252,0.6496063,0.6988189,1.22367986,1.14651086,1.06934186,0.35277257,0.74964172,0.56223129,0.67247272,0.63940029,0.65042443,0.605003791,0.720242608,0.893100834,1.526914329,0.230477635,1.613343442,0.468571429,0.445714286,0.88,1.213953488,2.294894
1.12591987,1.6263287,1.62080537,2.27964023,0.63941128,1.56147023,1.00213048,1.66931837,0.57234957,1.3517192,0.21848739,0.44218513,1.423841,1.89404,0.450331,1.364238,0.311258,1.205298,1.337748,1.99715707,1.11584932,0.32693674,0.44776119,0.5188344,0.7960199,0.78891258,0.11294526,1.52910513,0.85143354,1.19895743,0.23457863,1.16420504,1.14682884,0.19982624,1.70275591,1.93897638,0.35433071,1.42716535,1.1023622,0.23622047,0.20669291,1.48622047,1.54527559,1.17958329,0.59530372,0.80476243,1.53235586,1.466211,1.48825929,1.080366,0.80476243,0.52915886,0.518574678,0.792266869,0.691432904,1.46929492,0.73464746,1.426080364,0.228571429,1.371428571,0.868571429,0.161860465,2.265845
0.18070319,1.54292723,2.0637584,2.0572363,1.09811938,2.96958178,2.23093333,0.78295463,1.85100286,1.19340974,0.8907563,0.49863429,1.18543,0.715232,0.437086,0.741722,0.231788,1.231788,0.668874,2.21037669,0.38379531,0.57569296,0.43354655,0.24875622,0.4832978,0.95948827,0.44309296,0.6429192,0.22589053,0.49522155,0.55603823,1.11207646,1.20764553,0.61685491,1.04330709,1.12204724,1.14173228,1.51574803,1.28937008,0.79724409,0.10826772,1.56496063,1.33858268,1.35596957,0.48506229,0.37482086,0.463014,0.83783486,0.540183,1.01422114,0.385845,0.50711057,1.872630781,0.648218347,0.86429113,0.993934799,0.403335861,0.705837756,0.48,0.902857143,1.085714286,0.620465116,0.794014
0.25020442,1.1676206,1.38926175,0.736713,1.08421913,2.48162233,1.94461034,2.21590934,1.76575931,1.60744986,0.27731092,1.02549317,1.218543,0.503311,0.887417,1.13245,0.794702,1.728477,0.874172,1.94740583,1.14427861,0.30561478,1.09452736,0.23454158,0.14925373,1.10163468,0.20851434,1.9200695,0.77324066,1.02519548,1.31190269,0.94700261,0.6429192,0.33883579,1.78149606,1.24015748,0.67913386,1.25984252,0.79724409,1.78149606,0.28543307,0.82677165,1.25,0.79373829,0.52915886,0.41891743,1.05831772,0.71656929,0.93705214,1.12446257,0.56223129,0.47403814,0.432145565,1.195602729,1.426080364,1.181197877,1.310841547,1.253222138,0.742857143,0.662857143,1.325714286,0.337209302,1.733275
0.08340147,2.07113655,2.71812081,2.27964023,0.62551104,1.67300382,1.37196435,1.75795475,1.14469914,0.53581662,0.68067227,0.37632777,1.311258,1.556291,1.304636,0.986755,0.304636,0.874172,0.887417,0.64676617,1.13717129,0.50461976,0.75337598,0.2771855,0.26297086,0.50461976,1.32059079,1.35534318,0.70373588,1.52910513,1.07732407,0.36490009,0.44309296,0.15638575,1.63385827,1.25984252,2.02755906,1.50590551,0.77755906,1.33858268,0.37401575,0.66929134,2.25393701,1.774887,0.37482086,0.16536214,0.37482086,1.40006614,1.02524529,1.003197,0.926028,1.24572814,0.979529947,1.282031842,1.339651251,1.037149356,1.613343442,1.483699773,0.514285714,1.611428571,0.788571429,0.094418605,1.665493
0.75061325,2.6688471,1.5704698,1.05641864,0.22240392,0.9340938,1.76565847,2.40795482,1.5709169,2.35028653,0.24369748,0.66798179,1.298013,1.470199,0.350993,1.271523,0.437086,0.602649,0.741722,1.99715707,0.96659559,0.12082445,0.87420043,0.18479033,0.88841507,1.30063966,0.30408341,1.12076455,0.57341442,1.13814075,0.58210252,1.6159861,0.92093831,2.05039096,0.96456693,1.01377953,0.92519685,1.25,1.06299213,1.58464567,0.44291339,0.90551181,0.95472441,0.37482086,0.617352,0.385845,0.42994157,1.03626943,0.76066586,1.14651086,0.74964172,1.02524529,2.088703563,1.037149356,1.642153146,1.109173616,0.619408643,1.584533738,0.422857143,1.097142857,1.542857143,0.283255814,1.491197
