Control,ash-2,prx-5,fat-7,plin-1,hosl-1,fat-2,spas-1,atgl-1,pmp-4,lpin-1,seip-1,dhs-3,acs-4,acs-22,fitm-2,dgat-2,acs-5,acs-13,acs-17,prx-19,Y7A5A.1,syx-5,alh-4,rab-7,prx-11,spg-20,ads-1,ctl-3,tomm-22,sod-1,fard-1,snx-13,mctp-1,faah-4,acdh-1,ech- 1,F46H5.3,dhs-9,dhs-4,dhs-19,tkt1,cgi-58,acdh-12,F13D12.9,dhs-28,spl-1,gpx-1,ftn-1,maoc-1,lpd-5,daf-22,T25G3.4,gpx-1(tm2100) mutant,hlh-2 RNAi,hlh-3 RNAi,nhr-64 RNAi,Y44A6D.3 RNAi,hlh-11 RNAi,nhr-49 RNAi,nhr-62 RNAi,nhr-79 RNAi,sbp-1 RNAi,C25H3.11-vps13d RNAi
0.889145,1.882217,0,0.923788,1.033487,1.963048,1.864896,0.854503,1.056582,1.356813,0.190531,1.045035,0.638536,0.948469,0.780433,0.926064,1.123973,0.548917,1.120239,0.937267,0.67498166,0.74468085,0.31914894,0.93176816,1.01980924,0.98679384,1.04915627,0.97067328,0.51631557,0.83023544,1.23089632,0.64023131,0.92936803,0.99545642,0.7228418,1.18997025,1.50446239,1.17297068,1.05397365,0.99447514,1.03272418,0.99872503,1.52996175,1.30046749,0.92671395,0.81323877,0.43026005,0.95508274,1.30969267,1.03073286,1.03073286,0.94089835,1.08274232,1.420926244,0.590783773,0.897991335,1.669948799,0.543521071,0.196927924,0.471329438,0.985025566,1.313367421,0.480296708,0.165641192
0.762125,1.939954,1.183603,1.079677,1.374134,1.489607,0.923788,1.784065,1.039261,1.293303,0.404157,1.166282,0.511576,0.948469,1.090366,0.291262,1.064227,0.362211,0.993279,0.351008,1.03815114,1.1298606,0.22010271,1.0785033,1.40132062,0.81438004,1.12252384,0.82610492,1.09045849,0.89632383,0.42957456,1.31350682,1.24741842,1.25981,0.9582817,0.93922652,1.28346791,1.06672333,1.26646834,1.12622184,1.79770506,1.07522312,0.92647684,1.51721207,0.37352246,0.37352246,1.29550827,0.74231678,0.6713948,0.52955083,1.68321513,0.48699764,1.11583924,0.658319039,0.18117369,0.645923592,0.834974399,0.606538007,0.653800709,,0.820854638,0.942658875,0.467315716,0.64119171
1.050808,1.154734,0.444573,0.767898,0.871824,2.21709,0.542725,1.050808,1.576212,1.397229,0.132794,0.969977,0.485437,1.269604,0.720687,1.116505,1.179985,0.941001,1.262136,0.560119,0.96845194,1.50036684,0.18341893,1.04181952,1.34996332,0.48789435,0.50623624,0.7063197,1.10698059,0.7228418,0.57001239,0.61957869,1.52829409,0.74762495,0.84262701,2.09944751,1.38546536,1.38121547,1.02422439,1.03272418,1.05822354,1.2239694,1.19847004,1.10072248,0.94562648,0.65248227,0.66193853,1.19148936,0.63356974,0.643026,0.79905437,1.05437352,0.79905437,1.636020583,1.756597085,1.339109886,1.528160693,0.196927924,1.228830248,0.508400292,1.233929876,0.439554419,0.441353732,0.977817358
0.808314,1.622402,0.404157,0.554273,0.825635,1.41455,1.224018,0.946882,1.108545,1.709007,0.317552,0.508083,0.970874,1.165049,1.262136,1.03062,0.806572,0.776699,1.123973,0.64227,0.77402788,1.15553925,0.34849596,1.03815114,1.25091709,0.4108584,0.69699193,1.13176373,0.58240397,0.76827757,0.71045023,0.62370921,0.57001239,0.88393226,1.35068154,1.12197195,0.94772631,1.4279643,0.69273268,1.32596685,0.46323842,1.04122397,1.75095623,0.76498088,0.42080378,0.42080378,1.45626478,1.06855792,1.50827423,0.77068558,1.07801418,0.40661939,0.90780142,0.632246998,0.59866089,0.393855849,1.323355652,0.504135486,0.590783773,0.762600438,1.085646457,1.387509131,0.503013445,0.197700777
1.339492,2.488453,0.069284,0.623557,0.363741,1.016166,2.026559,1.200924,0.571594,1.801386,0.069284,1.512702,0.619866,0.634802,0.619866,1.023152,1.381628,0.881255,0.982076,0.369679,0.48789435,1.03448276,0.61261922,0.7703595,1.5077036,0.5649303,0.77769626,0.44609665,0.70218918,1.30524577,0.90045436,0.78479967,1.10285006,1.92069393,0.49153242,0.89672758,0.93497663,0.65448364,1.47046324,0.89247769,1.64470888,1.41946451,0.65873353,1.39396515,0.72813239,0.71394799,1.39007092,0.60992908,1.59810875,0.50591017,1.06382979,0.52955083,1.26241135,1.538250429,0.244190626,1.362741237,0.897991335,0.393855849,0.18117369,0.524287801,0.503104456,0.693754565,0.347241539,0.550356218
0.889145,1.726328,0.398383,0.669746,1.968822,2.032333,1.737875,1.818707,1.830254,1.351039,0.652425,0.941109,0.825243,1.239731,0.612397,0.810306,1.299477,0.877521,0.974608,0.765497,0.62729274,0.78503302,0.24944974,0.4108584,1.07483492,0.91709464,0.96111519,0.56175134,0.83023544,0.9913259,0.78479967,0.71871128,1.53242462,0.90458488,0.68566708,1.46196345,1.51721207,0.98172546,0.87547811,1.25796855,1.09647259,1.67020824,1.27921802,1.52996175,1.01182033,0.60520095,0.86524823,0.84160757,0.50118203,0.53900709,1.42316785,1.20567376,1.03073286,1.036363636,0.441118551,1.299724301,0.882237101,0.606538007,0.354470264,0.349525201,0.619612856,0.794375457,0.438108484,0.475550518
0.779446,2.182448,0.450346,1.045035,2.113164,2.632794,1.766744,1.333718,0.837182,2.15358,0.323326,0.889145,0.444361,1.015683,1.019417,1.262136,0.776699,0.638536,1.277072,1.146378,0.85106383,0.55759354,0.21276596,0.99413059,1.02347762,0.38884813,1.12252384,0.62370921,0.88393226,1.22263527,0.53696819,0.61131764,0.54522924,1.11111111,0.62370921,1.81470463,1.61495963,1.24521887,0.90522737,0.90522737,1.41521462,1.24096898,1.45771356,1.11772206,1.23404255,0.52009456,1.04964539,0.90780142,0.76122931,0.6572104,0.85106383,0.82742317,0.67612293,1.075471698,0.512012603,1.53603781,0.905868452,0.315084679,0.575029539,0.857925493,0.471329438,1.260409058,0.590635141,0.411431347
0.606236,2.678984,0.894919,1.125866,0.635104,1.172055,1.749423,1.622402,0.773672,2.915704,1.333718,1.362587,0.739358,1.250934,0.399552,1.120239,0.907394,0.537715,1.314414,0.888723,0.44020543,0.90242113,0.42186354,0.88774762,1.31327953,0.58694057,0.82538518,0.49566295,0.82610492,0.58653449,1.007848,0.54522924,1.40850888,0.96241223,0.87980173,1.58946026,0.78623034,0.70123247,1.30046749,0.8159796,1.53846154,0.64173396,1.02847429,1.73395665,0.73286052,0.78486998,0.79905437,1.07328605,1.11583924,0.62411348,1.39479905,0.75650118,0.76595745,1.538250429,0.385978732,1.528160693,1.047656558,0.385978732,0.346593147,0.428962747,0.741417093,0.804967129,0.421882244,0.571729275
0.594688,1.316397,0.178984,0.536952,1.327945,1.027714,1.593533,1.154734,1.293303,1.183603,0.1097,0.323326,1.0941,1.333084,0.989544,0.955937,0.970874,0.414488,1.176251,0.98581,0.64196625,0.77769626,0.34849596,1.12619222,1.21056493,0.67131328,1.1298606,0.93349855,0.29326724,0.84675754,0.54522924,0.87567121,1.39198678,1.30111524,0.7063197,0.77773056,1.57671058,1.06672333,1.03272418,1.17722057,1.66170846,0.8159796,0.89247769,1.08372291,1.63120567,0.1607565,0.80851064,0.78486998,1.46572104,0.81323877,0.98345154,0.80378251,0.76122931,0.716981132,0.126033872,1.701457267,0.496258369,0.803465931,0.346593147,0.683162893,1.28688824,0.73082542,0.402410756,0.128238342
0.669746,1.460739,0.230947,0.831409,2.165127,1.69746,2.459584,1.674365,0.640878,2.546189,1.922633,1.172055,0.997013,0.761763,1.32935,1.232263,1.165049,0.694548,0.997013,0.959671,0.46588408,0.70799707,0.2567865,0.34115921,1.22157007,0.44020543,0.95744681,1.11524164,0.80132177,0.74349442,0.49153242,0.83849649,0.85088806,0.98306485,1.14828583,1.03697408,0.98172546,1.69570761,0.96047599,1.03697408,1.82320442,1.64895878,1.2239694,0.679983,0.41134752,0.23640662,0.77541371,1.05437352,0.53900709,0.78014184,1.17730496,0.78014184,1.35224586,1.081989708,1.055533675,0.551398188,1.488775108,0.622292241,0.291453328,0.36541271,0.852629657,1.218042367,0.743161799,0.742713731
